degree,section,course_code,course_name
Bachelor of Accounting,Program electives - Business,ACCT1005,UO Accounting for Business
Bachelor of Accounting,Program electives - Business,ACCT1006,UO Financial Accounting 1
Bachelor of Accounting,Program electives - Business,ACCT2003,UO Financial Accounting 2
Bachelor of Accounting,Program electives - Business,ACCT2004,UO Management Accounting
Bachelor of Accounting,Program electives - Business,ACCT3003,UO Auditing Theory and Practice
Bachelor of Accounting,Program electives - Business,ACCT3004,UO Contemporary Issues in Accounting
Bachelor of Accounting,Program electives - Business,ACCT3005,UO Financial Accounting 3
Bachelor of Accounting,Program electives - Business,ACCT3006,UO Sustainability Accounting and Reporting
Bachelor of Accounting,Program electives - Business,BAFI1003,UO Financial Markets and Institutions
Bachelor of Accounting,Program electives - Business,BAFI1004,UO Personal Finance
Bachelor of Accounting,Program electives - Business,BAFI2016,UO Introduction to Financial Planning
Bachelor of Accounting,Program electives - Business,BAFI2025,UO Business Finance
Bachelor of Accounting,Program electives - Business,BAFI3008,UO Applied Financial Planning
Bachelor of Accounting,Program electives - Business,BAFI3009,UO Estate Planning
Bachelor of Accounting,Program electives - Business,BAFI3010,UO Portfolio and Fund Management
Bachelor of Accounting,Program electives - Business,BAFI3011,UO Risk Management and Insurance
Bachelor of Accounting,Program electives - Business,BAFI3012,UO Superannuation
Bachelor of Accounting,Program electives - Business,BAFI3013,UO International Currency and Banking Markets
Bachelor of Accounting,Program electives - Business,BUSI1018,UO Business and Society
Bachelor of Accounting,Program electives - Business,BUSI1019,UO Exploring Digital Technology in Business
Bachelor of Accounting,Program electives - Business,BUSI1020,UO Introduction to Digital Disruption in Business
Bachelor of Accounting,Program electives - Business,BUSI1022,UO Foundations of Business
Bachelor of Accounting,Program electives - Business,BUSI1023,UO Introduction to Human Behaviour
Bachelor of Accounting,Program electives - Business,BUSI1030,UO Career Development in Business
Bachelor of Accounting,Program electives - Business,BUSI2014,UO Designing Digital Solutions
Bachelor of Accounting,Program electives - Business,BUSI2016,Business International Study Tour
Bachelor of Accounting,Program electives - Business,BUSI2017,UO Organisational Behaviour
Bachelor of Accounting,Program electives - Business,BUSI2019,UO Management and Organisation
Bachelor of Accounting,Program electives - Business,BUSI2020,UO Project Management: Principles and Strategies
Bachelor of Accounting,Program electives - Business,BUSI2021,UO Entrepreneurship for Social and Market Impact
Bachelor of Accounting,Program electives - Business,BUSI2023,UO Digital Solution Methodologies
Bachelor of Accounting,Program electives - Business,BUSI3025,UO Digital Business Solutions
Bachelor of Accounting,Program electives - Business,BUSI3026,UO Digital Business Value
Bachelor of Accounting,Program electives - Business,BUSI3028,UO Managing the Employment Relationship
Bachelor of Accounting,Program electives - Business,BUSI3029,UO Strategic Human Resource Management
Bachelor of Accounting,Program electives - Business,BUSI3030,UO International Management Ethics and Values
Bachelor of Accounting,Program electives - Business,BUSI3031,UO Managing Decision Making
Bachelor of Accounting,Program electives - Business,BUSI3032,UO Organisational Leadership
Bachelor of Accounting,Program electives - Business,BUSI3033,UO Strategic Management
Bachelor of Accounting,Program electives - Business,BUSI3034,UO Strategic Financial Analysis
Bachelor of Accounting,Program electives - Business,BUSI3035,UO Organisational Entrepreneurship
Bachelor of Accounting,Program electives - Business,BUSI3036,UO Business Internship 30 Days
Bachelor of Accounting,Program electives - Business,BUSI3037,UO Business Practicum
Bachelor of Accounting,Program electives - Business,BUSI3040,UO Solving Business Challenges
Bachelor of Accounting,Program electives - Business,BUSI3041,UO Virtual Industry Internship
Bachelor of Accounting,Program electives - Business,BUSI5065,UO Applying Digital Technologies in Business
Bachelor of Accounting,Program electives - Business,BUSI5066,UO Delivering Digital Transformation
Bachelor of Accounting,Program electives - Business,BUSI5067,UO Leading Digital Innovation
Bachelor of Accounting,Program electives - Business,BUSI5068,UO Prototyping a Digital Solution
