degree_name,course_code,course_name,stream_clean
Bachelor of Business majoring in Human Resource Management,BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
Bachelor of Business majoring in Human Resource Management,BUSI3013,Strategic Management,Program Core
Bachelor of Business majoring in Human Resource Management,ECON1000,Principles of Economics,Program Core
Bachelor of Business majoring in Human Resource Management,MDIA2021,Research Methods in Media and Communication,Program Core
Bachelor of Business majoring in Human Resource Management,MDIA2022,"Media Law, Policy and Ethics",Program Core
Bachelor of Business majoring in Human Resource Management,MDIA2102,Promotional Culture,Program Core
Bachelor of Business majoring in Human Resource Management,MDIA3017,Strategic Planning for Media and Communication,Program Core
Bachelor of Business majoring in Human Resource Management,GRAP1004,Digital Design Principles and Methods,Program Core
Bachelor of Business majoring in Human Resource Management,PROJ1000,Foundations of Project Management,Program Core
Bachelor of Business majoring in Human Resource Management,PROJ1001,Scheduling and Cost Management,Program Core
Bachelor of Business majoring in Human Resource Management,PROJ3006,Project Logistics and Supply Chains,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",ACCT1000,Accounting for Decision Makers,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",BUSI1002,"Management, Organisations and Leadership",Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",BUSI2001,"Emerging Technologies, Data and Business Analytics",Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",MARK1000,Marketing Principles,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",BUSI1001,Business Law,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",BUSI2002,"Negotiation, Conflict Management and Resolution",Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",BUSI3013,Strategic Management,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",ECON1000,Principles of Economics,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",MDIA2021,Research Methods in Media and Communication,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",MDIA2022,"Media Law, Policy and Ethics",Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",MDIA2102,Promotional Culture,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",MDIA3017,Strategic Planning for Media and Communication,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",GRAP1004,Digital Design Principles and Methods,Program Core
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",PROJ1000,Foundations of Project Management,Program Core
